end,total_shot_number,shooter,opponent,opponent_before,opponent_after,removed,success
0,1,team0,team1,0,0,0,0
0,2,team1,team0,1,1,0,0
0,3,team0,team1,1,1,0,0
0,4,team1,team0,2,2,0,0
0,5,team0,team1,2,2,0,0
0,6,team1,team0,3,3,0,0
0,7,team0,team1,3,3,0,0
0,8,team1,team0,3,3,0,0
0,9,team0,team1,4,2,2,1
0,10,team1,team0,3,3,0,0
0,11,team0,team1,3,3,0,0
0,12,team1,team0,4,4,0,0
0,13,team0,team1,4,4,0,0
0,14,team1,team0,5,5,0,0
0,15,team0,team1,5,5,0,0
0,16,team1,team0,6,6,0,0
1,1,team1,team0,0,0,0,0
1,2,team0,team1,1,1,0,0
1,3,team1,team0,0,0,0,0
1,4,team0,team1,2,1,1,1
1,5,team1,team0,0,0,0,0
1,6,team0,team1,2,2,0,0
1,7,team1,team0,0,0,0,0
1,8,team0,team1,3,2,1,1
1,9,team1,team0,1,1,0,0
1,10,team0,team1,3,2,1,1
1,11,team1,team0,2,2,0,0
1,12,team0,team1,3,3,0,0
1,13,team1,team0,2,2,0,0
1,14,team0,team1,4,3,1,1
1,15,team1,team0,1,1,0,0
1,16,team0,team1,4,4,0,0
2,1,team0,team1,0,0,0,0
2,2,team1,team0,1,1,0,0
2,3,team0,team1,1,1,0,0
2,4,team1,team0,2,2,0,0
2,5,team0,team1,2,2,0,0
2,6,team1,team0,3,3,0,0
2,7,team0,team1,3,3,0,0
2,8,team1,team0,4,4,0,0
2,9,team0,team1,4,4,0,0
2,10,team1,team0,5,5,0,0
2,11,team0,team1,5,4,1,1
2,12,team1,team0,6,6,0,0
2,13,team0,team1,5,4,1,1
2,14,team1,team0,5,5,0,0
2,15,team0,team1,5,5,0,0
2,16,team1,team0,5,5,0,0
3,1,team0,team1,0,0,0,0
3,2,team1,team0,1,1,0,0
3,3,team0,team1,1,1,0,0
3,4,team1,team0,2,2,0,0
3,5,team0,team1,2,1,1,1
3,6,team1,team0,0,0,0,0
3,7,team0,team1,2,2,0,0
3,8,team1,team0,0,0,0,0
3,9,team0,team1,3,2,1,1
3,10,team1,team0,1,1,0,0
3,11,team0,team1,3,3,0,0
3,12,team1,team0,0,0,0,0
3,13,team0,team1,4,3,1,1
3,14,team1,team0,1,1,0,0
3,15,team0,team1,4,4,0,0
3,16,team1,team0,1,1,0,0
4,1,team0,team1,0,0,0,0
4,2,team1,team0,1,1,0,0
4,3,team0,team1,1,1,0,0
4,4,team1,team0,1,1,0,0
4,5,team0,team1,2,1,1,1
4,6,team1,team0,2,2,0,0
4,7,team0,team1,2,2,0,0
4,8,team1,team0,2,2,0,0
4,9,team0,team1,3,3,0,0
4,10,team1,team0,2,2,0,0
4,11,team0,team1,4,3,1,1
4,12,team1,team0,2,2,0,0
4,13,team0,team1,4,4,0,0
4,14,team1,team0,2,2,0,0
4,15,team0,team1,5,4,1,1
4,16,team1,team0,1,1,0,0
5,1,team0,team1,0,0,0,0
5,2,team1,team0,1,1,0,0
5,3,team0,team1,1,1,0,0
5,4,team1,team0,2,2,0,0
5,5,team0,team1,2,1,1,1
5,6,team1,team0,0,0,0,0
5,7,team0,team1,2,2,0,0
5,8,team1,team0,0,0,0,0
5,9,team0,team1,3,3,0,0
5,10,team1,team0,0,0,0,0
5,11,team0,team1,4,4,0,0
5,12,team1,team0,0,0,0,0
5,13,team0,team1,5,5,0,0
5,14,team1,team0,0,0,0,0
5,15,team0,team1,6,6,0,0
5,16,team1,team0,0,0,0,0
6,1,team0,team1,0,0,0,0
6,2,team1,team0,1,1,0,0
6,3,team0,team1,1,1,0,0
6,4,team1,team0,2,2,0,0
6,5,team0,team1,2,2,0,0
6,6,team1,team0,3,3,0,0
6,7,team0,team1,3,3,0,0
6,8,team1,team0,4,4,0,0
6,9,team0,team1,4,4,0,0
6,10,team1,team0,5,5,0,0
6,11,team0,team1,5,5,0,0
6,12,team1,team0,6,6,0,0
6,13,team0,team1,6,6,0,0
6,14,team1,team0,7,7,0,0
6,15,team0,team1,7,5,2,1
6,16,team1,team0,6,6,0,0
