shot,timestamp,tx,ty,matched_x,matched_y,v,angle,omega,outcome,note
1,2026-02-25T10:11:30.881000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,アウト/消滅(Out),
2,2026-02-25T10:11:31,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,アウト/消滅(Out),
3,2026-02-25T10:11:31.103000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,アウト/消滅(Out),
4,2026-02-25T10:11:31.208000,1.04,37.28,1.015,37.304,2.3719,0.0815,15.708,アウト/消滅(Out),
5,2026-02-25T10:11:31.322000,1.04,37.28,1.015,37.304,2.3719,0.0815,15.708,アウト/消滅(Out),
6,2026-02-25T10:11:31.428000,1.04,37.72,1.015,37.704,2.3828,0.0811,15.708,アウト/消滅(Out),
7,2026-02-25T10:11:31.541000,1.04,37.72,1.015,37.704,2.3828,0.0811,15.708,アウト/消滅(Out),
8,2026-02-25T10:11:31.650000,1.04,37.72,1.015,37.704,2.3828,0.0811,15.708,アウト/消滅(Out),
1,2026-02-25T10:11:31.777000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,アウト/消滅(Out),相手石が移動(Hit-moved)
2,2026-02-25T10:11:31.873000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,アウト/消滅(Out),
3,2026-02-25T10:11:32.026000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,アウト/消滅(Out),
4,2026-02-25T10:11:32.126000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,アウト/消滅(Out),
5,2026-02-25T10:11:32.225000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,アウト/消滅(Out),
6,2026-02-25T10:11:32.327000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,アウト/消滅(Out),
7,2026-02-25T10:11:32.431000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,アウト/消滅(Out),
8,2026-02-25T10:11:32.534000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,アウト/消滅(Out),
1,2026-02-25T10:11:32.682000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,アウト/消滅(Out),相手石が移動(Hit-moved)
2,2026-02-25T10:11:32.788000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,アウト/消滅(Out),
3,2026-02-25T10:11:32.890000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,アウト/消滅(Out),
4,2026-02-25T10:11:32.990000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,アウト/消滅(Out),
5,2026-02-25T10:11:33.088000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,アウト/消滅(Out),
6,2026-02-25T10:11:33.187000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,アウト/消滅(Out),
7,2026-02-25T10:11:33.287000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,アウト/消滅(Out),
8,2026-02-25T10:11:33.403000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,アウト/消滅(Out),
1,2026-02-25T10:11:33.512000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,アウト/消滅(Out),
2,2026-02-25T10:11:33.615000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,アウト/消滅(Out),
3,2026-02-25T10:11:33.715000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,アウト/消滅(Out),
4,2026-02-25T10:11:33.809000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,アウト/消滅(Out),
5,2026-02-25T10:11:33.913000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,アウト/消滅(Out),
6,2026-02-25T10:11:34.011000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,アウト/消滅(Out),
7,2026-02-25T10:11:34.260000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,アウト/消滅(Out),
8,2026-02-25T10:11:34.359000,1.84,36.95,1.815,36.904,2.3605,0.1031,15.708,アウト/消滅(Out),
1,2026-02-25T10:11:34.470000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,アウト/消滅(Out),
2,2026-02-25T10:11:34.567000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,アウト/消滅(Out),
3,2026-02-25T10:11:34.681000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,アウト/消滅(Out),
4,2026-02-25T10:11:34.795000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,アウト/消滅(Out),
5,2026-02-25T10:11:34.890000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,アウト/消滅(Out),
6,2026-02-25T10:11:34.996000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,アウト/消滅(Out),
7,2026-02-25T10:11:35.095000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,アウト/消滅(Out),
8,2026-02-25T10:11:35.198000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,アウト/消滅(Out),
1,2026-02-25T10:11:35.350000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,アウト/消滅(Out),相手石が移動(Hit-moved)
2,2026-02-25T10:11:35.455000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,アウト/消滅(Out),
3,2026-02-25T10:11:35.555000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,アウト/消滅(Out),
4,2026-02-25T10:11:35.658000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,アウト/消滅(Out),
5,2026-02-25T10:11:35.754000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,アウト/消滅(Out),
6,2026-02-25T10:11:35.872000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,アウト/消滅(Out),
7,2026-02-25T10:11:35.983000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,アウト/消滅(Out),
8,2026-02-25T10:11:36.086000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,アウト/消滅(Out),
1,2026-02-25T10:11:36.193000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,アウト/消滅(Out),
2,2026-02-25T10:11:36.303000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,アウト/消滅(Out),
3,2026-02-25T10:11:36.407000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,アウト/消滅(Out),
4,2026-02-25T10:11:36.504000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,アウト/消滅(Out),
5,2026-02-25T10:11:36.599000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,アウト/消滅(Out),
6,2026-02-25T10:11:36.708000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,アウト/消滅(Out),
7,2026-02-25T10:11:36.812000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,アウト/消滅(Out),
8,2026-02-25T10:11:36.921000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,アウト/消滅(Out),
1,2026-02-25T10:11:37.039000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,アウト/消滅(Out),
2,2026-02-25T10:11:37.140000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,アウト/消滅(Out),
3,2026-02-25T10:11:37.281000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,アウト/消滅(Out),
4,2026-02-25T10:11:37.382000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,アウト/消滅(Out),
5,2026-02-25T10:11:37.496000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,アウト/消滅(Out),
6,2026-02-25T10:11:37.600000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,アウト/消滅(Out),
7,2026-02-25T10:11:37.710000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,アウト/消滅(Out),
8,2026-02-25T10:11:37.806000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,アウト/消滅(Out),
1,2026-02-25T10:11:37.915000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,アウト/消滅(Out),
2,2026-02-25T10:11:38.010000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,アウト/消滅(Out),
3,2026-02-25T10:11:38.108000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,アウト/消滅(Out),
4,2026-02-25T10:11:38.210000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,アウト/消滅(Out),
5,2026-02-25T10:11:38.341000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,アウト/消滅(Out),
