shot_no,target_x,target_y,tx,ty,no1,matched_pos_x,matched_pos_y,v,angle,omega
1,0.0,38.41,0.0,38.405,None,0.015,38.404,2.4036,0.0549,15.708
2,0.0,38.41,0.0,38.405,None,0.015,38.404,2.4036,0.0549,15.708
3,0.0,38.41,0.0,38.405,None,0.015,38.404,2.4036,0.0549,15.708
4,1.04,37.28,1.0408029556274414,37.28025482177734,"{'x': 1.0408029556274414, 'y': 37.425254821777344, 'team': 'team1'}",1.015,37.304,2.3719,0.0815,15.708
5,1.04,37.28,1.0408029556274414,37.28025482177734,"{'x': 1.0408029556274414, 'y': 37.425254821777344, 'team': 'team1'}",1.015,37.304,2.3719,0.0815,15.708
6,1.04,37.72,1.0408029556274414,37.71525482177734,"{'x': 1.0408029556274414, 'y': 37.425254821777344, 'team': 'team1'}",1.015,37.704,2.3828,0.0811,15.708
7,1.04,37.72,1.0408029556274414,37.71525482177734,"{'x': 1.0408029556274414, 'y': 37.425254821777344, 'team': 'team1'}",1.015,37.704,2.3828,0.0811,15.708
8,1.04,37.72,1.0408029556274414,37.71525482177734,"{'x': 1.0408029556274414, 'y': 37.425254821777344, 'team': 'team1'}",1.015,37.704,2.3828,0.0811,15.708
1,0.0,38.41,0.0,38.405,None,0.015,38.404,2.4036,0.0549,15.708
2,0.0,38.41,0.0,38.405,None,0.015,38.404,2.4036,0.0549,15.708
3,0.0,38.41,0.0,38.405,None,0.015,38.404,2.4036,0.0549,15.708
4,0.0,38.41,0.0,38.405,None,0.015,38.404,2.4036,0.0549,15.708
5,0.0,38.41,0.0,38.405,None,0.015,38.404,2.4036,0.0549,15.708
6,0.0,38.41,0.0,38.405,None,0.015,38.404,2.4036,0.0549,15.708
7,0.0,38.41,0.0,38.405,None,0.015,38.404,2.4036,0.0549,15.708
8,0.0,38.41,0.0,38.405,None,0.015,38.404,2.4036,0.0549,15.708
1,0.0,38.41,0.0,38.405,None,0.015,38.404,2.4036,0.0549,15.708
2,0.0,38.41,0.0,38.405,None,0.015,38.404,2.4036,0.0549,15.708
3,0.0,38.41,0.0,38.405,None,0.015,38.404,2.4036,0.0549,15.708
4,0.0,38.41,0.0,38.405,None,0.015,38.404,2.4036,0.0549,15.708
5,0.0,38.41,0.0,38.405,None,0.015,38.404,2.4036,0.0549,15.708
6,0.0,38.41,0.0,38.405,None,0.015,38.404,2.4036,0.0549,15.708
7,0.0,38.41,0.0,38.405,None,0.015,38.404,2.4036,0.0549,15.708
8,0.0,38.41,0.0,38.405,None,0.015,38.404,2.4036,0.0549,15.708
1,0.0,38.41,0.0,38.405,None,0.015,38.404,2.4036,0.0549,15.708
2,0.0,38.41,0.0,38.405,None,0.015,38.404,2.4036,0.0549,15.708
3,0.0,38.41,0.0,38.405,None,0.015,38.404,2.4036,0.0549,15.708
4,0.0,38.41,0.0,38.405,None,0.015,38.404,2.4036,0.0549,15.708
5,0.0,38.41,0.0,38.405,None,0.015,38.404,2.4036,0.0549,15.708
6,0.0,38.41,0.0,38.405,None,0.015,38.404,2.4036,0.0549,15.708
7,0.0,38.41,0.0,38.405,None,0.015,38.404,2.4036,0.0549,15.708
8,1.84,36.95,1.8403503894805908,36.95378112792969,"{'x': 1.8157888650894165, 'y': 38.618648529052734, 'team': 'team1'}",1.815,36.904,2.3605,0.1031,15.708
1,0.0,38.41,0.0,38.405,None,0.015,38.404,2.4036,0.0549,15.708
2,0.0,38.41,0.0,38.405,None,0.015,38.404,2.4036,0.0549,15.708
3,0.0,38.41,0.0,38.405,None,0.015,38.404,2.4036,0.0549,15.708
4,0.0,38.41,0.0,38.405,None,0.015,38.404,2.4036,0.0549,15.708
5,0.0,38.41,0.0,38.405,None,0.015,38.404,2.4036,0.0549,15.708
6,0.0,38.41,0.0,38.405,None,0.015,38.404,2.4036,0.0549,15.708
7,0.0,38.41,0.0,38.405,None,0.015,38.404,2.4036,0.0549,15.708
8,0.0,38.41,0.0,38.405,None,0.015,38.404,2.4036,0.0549,15.708
