ts,end,total_shot_number,tv,av,sa_rad,sa_deg,est_distance,final_x,final_y,class,trajectory_file
2026-02-26T11:37:23.979,0,1,2.392350,15.707963,0.132563,7.60,14.242142,14.242142,1.899119,guard,trajectories\traj_000.csv
2026-02-26T11:37:24.077,0,3,2.403402,15.707963,0.129101,7.40,14.380314,14.380314,1.866890,draw,trajectories\traj_001.csv
2026-02-26T11:37:24.182,0,5,2.400381,15.707963,0.130589,7.48,14.341424,14.341424,1.883557,draw,trajectories\traj_002.csv
2026-02-26T11:37:24.278,0,7,2.405504,15.707963,0.134990,7.73,14.394171,14.394171,1.954961,guard,trajectories\traj_003.csv
2026-02-26T11:37:24.372,0,9,2.401513,15.707963,0.135486,7.76,14.345546,14.345546,1.955597,guard,trajectories\traj_004.csv
2026-02-26T11:37:24.464,0,11,2.410415,15.707963,0.129071,7.40,14.464193,14.464193,1.877339,draw,trajectories\traj_005.csv
2026-02-26T11:37:24.563,0,13,2.433297,15.707963,0.222820,12.77,14.495770,14.495770,3.284491,hit,trajectories\traj_006.csv
2026-02-26T11:37:24.655,0,15,2.429416,15.707963,0.217624,12.47,14.466449,14.466449,3.198900,hit,trajectories\traj_007.csv
2026-02-26T11:37:24.772,1,1,2.410393,15.707963,0.131832,7.55,14.458701,14.458701,1.917233,guard,trajectories\traj_008.csv
2026-02-26T11:37:24.874,1,3,2.399354,15.707963,0.133185,7.63,14.324253,14.324253,1.919144,guard,trajectories\traj_009.csv
2026-02-26T11:37:24.977,1,5,2.407448,15.707963,0.133233,7.63,14.420805,14.420805,1.932775,guard,trajectories\traj_010.csv
2026-02-26T11:37:25.074,1,7,2.400215,15.707963,0.131051,7.51,14.338580,14.338580,1.889919,guard,trajectories\traj_011.csv
2026-02-26T11:37:25.171,1,9,2.414293,15.707963,0.133684,7.66,14.501882,14.501882,1.950309,guard,trajectories\traj_012.csv
2026-02-26T11:37:25.264,1,11,2.400897,15.707963,0.130772,7.49,14.347244,14.347244,1.886989,draw,trajectories\traj_013.csv
2026-02-26T11:37:25.360,1,13,2.414233,15.707963,0.134584,7.71,14.499405,14.499405,1.963248,guard,trajectories\traj_014.csv
2026-02-26T11:37:25.523,1,15,2.414228,15.707963,0.134467,7.70,14.499581,14.499581,1.961557,guard,trajectories\traj_015.csv
2026-02-26T11:37:25.639,2,1,2.384626,15.707963,0.133702,7.66,14.148377,14.148377,1.903013,guard,trajectories\traj_016.csv
2026-02-26T11:37:25.731,2,3,2.414418,15.707963,0.130493,7.48,14.509533,14.509533,1.904219,draw,trajectories\traj_017.csv
2026-02-26T11:37:25.829,2,5,2.410222,15.707963,0.132170,7.57,14.455994,14.455994,1.921854,guard,trajectories\traj_018.csv
2026-02-26T11:37:25.950,2,7,2.420230,15.707963,0.129232,7.40,14.581678,14.581678,1.894981,hit,trajectories\traj_019.csv
2026-02-26T11:37:26.053,2,9,2.394589,15.707963,0.131931,7.56,14.269975,14.269975,1.893649,guard,trajectories\traj_020.csv
2026-02-26T11:37:26.205,2,11,2.397440,15.707963,0.128475,7.36,14.310355,14.310355,1.848704,draw,trajectories\traj_021.csv
2026-02-26T11:37:26.315,2,13,2.393230,15.707963,0.131696,7.55,14.254253,14.254253,1.888153,guard,trajectories\traj_022.csv
2026-02-26T11:37:26.421,2,15,2.407333,15.707963,0.132565,7.60,14.420719,14.420719,1.922967,guard,trajectories\traj_023.csv
2026-02-26T11:37:26.541,3,1,2.407983,15.707963,0.133728,7.66,14.426237,14.426237,1.940778,guard,trajectories\traj_024.csv
2026-02-26T11:37:26.635,3,3,2.398480,15.707963,0.129253,7.41,14.321292,14.321292,1.861453,draw,trajectories\traj_025.csv
2026-02-26T11:37:26.728,3,5,2.402941,15.707963,0.133032,7.62,14.367362,14.367362,1.922681,guard,trajectories\traj_026.csv
2026-02-26T11:37:26.824,3,7,2.407790,15.707963,0.129922,7.44,14.431212,14.431212,1.885550,draw,trajectories\traj_027.csv
2026-02-26T11:37:26.916,3,9,2.406338,15.707963,0.133477,7.65,14.407069,14.407069,1.934513,guard,trajectories\traj_028.csv
2026-02-26T11:37:27.015,3,11,2.416681,15.707963,0.239432,13.72,14.243087,14.243087,3.476953,guard,trajectories\traj_029.csv
2026-02-26T11:37:27.119,3,13,2.321309,15.707963,0.239911,13.75,13.141754,13.141754,3.214772,guard,trajectories\traj_030.csv
2026-02-26T11:37:27.217,3,15,2.446542,15.707963,0.238423,13.66,14.600108,14.600108,3.548500,hit,trajectories\traj_031.csv
2026-02-26T11:37:27.325,4,1,2.417445,15.707963,0.134427,7.70,14.538234,14.538234,1.966186,guard,trajectories\traj_032.csv
2026-02-26T11:37:27.418,4,3,2.394734,15.707963,0.130348,7.47,14.274674,14.274674,1.871291,draw,trajectories\traj_033.csv
2026-02-26T11:37:27.509,4,5,2.398660,15.707963,0.133518,7.65,14.315370,14.315370,1.922798,guard,trajectories\traj_034.csv
2026-02-26T11:37:27.597,4,7,2.396046,15.707963,0.130542,7.48,14.289925,14.289925,1.876098,draw,trajectories\traj_035.csv
2026-02-26T11:37:27.690,4,9,2.402797,15.707963,0.132475,7.59,14.366710,14.366710,1.914449,guard,trajectories\traj_036.csv
2026-02-26T11:37:27.782,4,11,2.389876,15.707963,0.133972,7.68,14.210033,14.210033,1.915215,guard,trajectories\traj_037.csv
2026-02-26T11:37:27.878,4,13,2.408094,15.707963,0.134903,7.73,14.425266,14.425266,1.957908,guard,trajectories\traj_038.csv
2026-02-26T11:37:27.976,4,15,2.398550,15.707963,0.130671,7.49,14.319472,14.319472,1.881868,draw,trajectories\traj_039.csv
2026-02-26T11:37:28.082,5,1,2.402534,15.707963,0.129140,7.40,14.369869,14.369869,1.866108,draw,trajectories\traj_040.csv
2026-02-26T11:37:28.179,5,3,2.403307,15.707963,0.133705,7.66,14.370430,14.370430,1.932936,guard,trajectories\traj_041.csv
2026-02-26T11:37:28.278,5,5,2.406694,15.707963,0.131653,7.54,14.414835,14.414835,1.908790,guard,trajectories\traj_042.csv
2026-02-26T11:37:28.374,5,7,2.404954,15.707963,0.130761,7.49,14.395741,14.395741,1.893201,draw,trajectories\traj_043.csv
2026-02-26T11:37:28.471,5,9,2.397178,15.707963,0.130812,7.49,14.302882,14.302882,1.881733,draw,trajectories\traj_044.csv
2026-02-26T11:37:28.569,5,11,2.398697,15.707963,0.128909,7.39,14.324519,14.324519,1.856854,draw,trajectories\traj_045.csv
2026-02-26T11:37:28.666,5,13,2.409658,15.707963,0.134403,7.70,14.444917,14.444917,1.953220,guard,trajectories\traj_046.csv
2026-02-26T11:37:28.768,5,15,2.411779,15.707963,0.127284,7.29,14.483905,14.483905,1.853583,draw,trajectories\traj_047.csv
2026-02-26T11:37:28.883,6,1,2.393549,15.707963,0.131063,7.51,14.259230,14.259230,1.879633,guard,trajectories\traj_048.csv
2026-02-26T11:37:28.981,6,3,2.407071,15.707963,0.133074,7.62,14.416609,14.416609,1.929886,guard,trajectories\traj_049.csv
2026-02-26T11:37:29.085,6,5,2.421269,15.707963,0.132071,7.57,14.588753,14.588753,1.938027,hit,trajectories\traj_050.csv
2026-02-26T11:37:29.180,6,7,2.401584,15.707963,0.132151,7.57,14.352841,14.352841,1.907858,guard,trajectories\traj_051.csv
2026-02-26T11:37:29.281,6,9,2.404598,15.707963,0.134797,7.72,14.383736,14.383736,1.950718,guard,trajectories\traj_052.csv
2026-02-26T11:37:29.380,6,11,2.402721,15.707963,0.237856,13.63,14.084743,14.084743,3.414786,guard,trajectories\traj_053.csv
2026-02-26T11:37:29.481,6,13,2.411136,15.707963,0.236130,13.53,14.189260,14.189260,3.414202,guard,trajectories\traj_054.csv
2026-02-26T11:37:29.582,6,15,2.321792,15.707963,0.242265,13.88,13.139616,13.139616,3.247048,guard,trajectories\traj_055.csv
2026-02-26T11:37:29.697,7,1,2.414452,15.707963,0.134457,7.70,14.502284,14.502284,1.961767,guard,trajectories\traj_056.csv
2026-02-26T11:37:29.820,7,3,2.399909,15.707963,0.130337,7.47,14.336267,14.336267,1.879199,draw,trajectories\traj_057.csv
2026-02-26T11:37:29.918,7,5,2.395385,15.707963,0.134129,7.69,14.275239,14.275239,1.926293,guard,trajectories\traj_058.csv
2026-02-26T11:37:30.021,7,7,2.405174,15.707963,0.128717,7.37,14.402211,14.402211,1.864121,draw,trajectories\traj_059.csv
2026-02-26T11:37:30.117,7,9,2.400071,15.707963,0.131114,7.51,14.336738,14.336738,1.890595,guard,trajectories\traj_060.csv
2026-02-26T11:37:30.216,7,11,2.410346,15.707963,0.130378,7.47,14.460908,14.460908,1.896136,draw,trajectories\traj_061.csv
2026-02-26T11:37:30.315,7,13,2.394651,15.707963,0.132258,7.58,14.270084,14.270084,1.898416,guard,trajectories\traj_062.csv
2026-02-26T11:37:30.417,7,15,2.408746,15.707963,0.130225,7.46,14.442057,14.442057,1.891422,draw,trajectories\traj_063.csv
2026-02-26T11:37:30.527,8,1,2.400382,15.707963,0.131404,7.53,14.339906,14.339906,1.895244,guard,trajectories\traj_064.csv
2026-02-26T11:37:30.627,8,3,2.401748,15.707963,0.130589,7.48,14.357764,14.357764,1.885691,draw,trajectories\traj_065.csv
2026-02-26T11:37:30.722,8,5,2.408840,15.707963,0.130650,7.49,14.442380,14.442380,1.897703,draw,trajectories\traj_066.csv
2026-02-26T11:37:30.816,8,7,2.400131,15.707963,0.131520,7.54,14.336682,14.336682,1.896515,guard,trajectories\traj_067.csv
2026-02-26T11:37:30.913,8,9,2.387478,15.707963,0.231712,13.28,13.927426,13.927426,3.286180,guard,trajectories\traj_068.csv
2026-02-26T11:37:31.073,8,11,2.389253,15.707963,0.231333,13.25,13.949311,13.949311,3.285765,guard,trajectories\traj_069.csv
2026-02-26T11:37:31.171,8,13,2.320644,15.707963,0.244800,14.03,13.118370,13.118370,3.277105,guard,trajectories\traj_070.csv
2026-02-26T11:37:31.262,8,15,2.310559,15.707963,0.224218,12.85,13.068952,13.068952,2.980405,guard,trajectories\traj_071.csv
2026-02-26T11:37:31.380,9,1,2.399497,15.707963,0.131677,7.54,14.328837,14.328837,1.897762,guard,trajectories\traj_072.csv
2026-02-26T11:37:31.481,9,3,2.398572,15.707963,0.133347,7.64,14.314644,14.314644,1.920210,guard,trajectories\traj_073.csv
2026-02-26T11:37:31.585,9,5,2.388301,15.707963,0.132007,7.56,14.195115,14.195115,1.884821,guard,trajectories\traj_074.csv
2026-02-26T11:37:31.683,9,7,2.416005,15.707963,0.130501,7.48,14.528561,14.528561,1.906829,draw,trajectories\traj_075.csv
2026-02-26T11:37:31.783,9,9,2.389211,15.707963,0.132894,7.61,14.204207,14.204207,1.898846,guard,trajectories\traj_076.csv
2026-02-26T11:37:31.881,9,11,2.400417,15.707963,0.131714,7.55,14.339737,14.339737,1.899749,guard,trajectories\traj_077.csv
2026-02-26T11:37:31.983,9,13,2.400218,15.707963,0.131411,7.53,14.337929,14.337929,1.895086,guard,trajectories\traj_078.csv
2026-02-26T11:37:32.088,9,15,2.395523,15.707963,0.133669,7.66,14.277761,14.277761,1.919944,guard,trajectories\traj_079.csv
