ts,end,total_shot_number,tv,av,sa_rad,sa_deg,est_distance,final_x_model,final_y_model,dc_x,dc_y,in_house,class,trajectory_file
2026-02-26T15:01:21.257,0,1,2.399897,15.707963,-0.137368,-7.87,38.154975,38.154975,-3.157286,-3.157286,38.154975,0,guard,trajectories\traj_000.csv
2026-02-26T15:01:21.393,0,3,2.403844,15.707963,-0.136987,-7.85,38.292218,38.292218,-3.152565,-3.152565,38.292218,0,guard,trajectories\traj_001.csv
2026-02-26T15:01:21.586,0,5,2.400420,15.707963,-0.138030,-7.91,38.170892,38.170892,-3.183862,-3.183862,38.170892,0,guard,trajectories\traj_002.csv
2026-02-26T15:01:21.683,0,7,2.403104,15.707963,-0.139757,-8.01,38.257818,38.257818,-3.256719,-3.256719,38.257818,0,guard,trajectories\traj_003.csv
2026-02-26T15:01:21.781,0,9,2.400671,15.707963,-0.137841,-7.90,38.180127,38.180127,-3.177303,-3.177303,38.180127,0,guard,trajectories\traj_004.csv
2026-02-26T15:01:21.890,0,11,2.404119,15.707963,-0.139605,-8.00,38.293328,38.293328,-3.253517,-3.253517,38.293328,0,guard,trajectories\traj_005.csv
2026-02-26T15:01:21.992,0,13,2.398936,15.707963,-0.136511,-7.82,38.124582,38.124582,-3.122215,-3.122215,38.124582,0,guard,trajectories\traj_006.csv
2026-02-26T15:01:22.092,0,15,2.389535,15.707963,-0.138775,-7.95,37.794622,37.794622,-3.184634,-3.184634,37.794622,0,guard,trajectories\traj_007.csv
2026-02-26T15:01:22.229,1,1,2.414402,15.707963,-0.137747,-7.89,38.654887,38.654887,-3.208238,-3.208238,38.654887,0,guard,trajectories\traj_008.csv
2026-02-26T15:01:22.328,1,3,2.402614,15.707963,-0.135413,-7.76,38.254690,38.254690,-3.089294,-3.089294,38.254690,0,guard,trajectories\traj_009.csv
2026-02-26T15:01:22.426,1,5,2.396759,15.707963,-0.140711,-8.06,38.036289,38.036289,-3.276625,-3.276625,38.036289,0,guard,trajectories\traj_010.csv
2026-02-26T15:01:22.527,1,7,2.397335,15.707963,-0.137366,-7.87,38.066843,38.066843,-3.150849,-3.150849,38.066843,0,guard,trajectories\traj_011.csv
2026-02-26T15:01:22.626,1,9,2.419340,15.707963,-0.137932,-7.90,38.825622,38.825622,-3.227894,-3.227894,38.825622,0,guard,trajectories\traj_012.csv
2026-02-26T15:01:22.749,1,11,2.404924,15.707963,-0.137915,-7.90,38.326532,38.326532,-3.190820,-3.190820,38.326532,0,guard,trajectories\traj_013.csv
2026-02-26T15:01:22.874,1,13,2.395831,15.707963,-0.139873,-8.01,38.007109,38.007109,-3.242381,-3.242381,38.007109,0,guard,trajectories\traj_014.csv
2026-02-26T15:01:22.974,1,15,2.399094,15.707963,-0.140415,-8.05,38.117543,38.117543,-3.271453,-3.271453,38.117543,0,guard,trajectories\traj_015.csv
2026-02-26T15:01:23.101,2,1,2.422207,15.707963,-0.141351,-8.10,38.913995,38.913995,-3.368212,-3.368212,38.913995,0,hit,trajectories\traj_016.csv
2026-02-26T15:01:23.210,2,3,2.400225,15.707963,-0.138575,-7.94,38.162436,38.162436,-3.204191,-3.204191,38.162436,0,guard,trajectories\traj_017.csv
2026-02-26T15:01:23.304,2,5,2.406378,15.707963,-0.136752,-7.84,38.380426,38.380426,-3.149852,-3.149852,38.380426,0,guard,trajectories\traj_018.csv
2026-02-26T15:01:23.396,2,7,2.397994,15.707963,-0.140623,-8.06,38.079033,38.079033,-3.276518,-3.276518,38.079033,0,guard,trajectories\traj_019.csv
2026-02-26T15:01:23.494,2,9,2.407179,15.707963,-0.139054,-7.97,38.400743,38.400743,-3.240235,-3.240235,38.400743,0,guard,trajectories\traj_020.csv
2026-02-26T15:01:23.594,2,11,2.394268,15.707963,-0.136778,-7.84,37.963258,37.963258,-3.120862,-3.120862,37.963258,0,guard,trajectories\traj_021.csv
2026-02-26T15:01:23.691,2,13,2.389928,15.707963,-0.138704,-7.95,37.808323,37.808323,-3.182965,-3.182965,37.808323,0,guard,trajectories\traj_022.csv
2026-02-26T15:01:23.793,2,15,2.394525,15.707963,-0.137258,-7.86,37.970582,37.970582,-3.139721,-3.139721,37.970582,0,guard,trajectories\traj_023.csv
2026-02-26T15:01:23.908,3,1,2.402184,15.707963,-0.140445,-8.05,38.223853,38.223853,-3.280636,-3.280636,38.223853,0,guard,trajectories\traj_024.csv
2026-02-26T15:01:24.010,3,3,2.398140,15.707963,-0.137444,-7.87,38.094261,38.094261,-3.155819,-3.155819,38.094261,0,guard,trajectories\traj_025.csv
2026-02-26T15:01:24.106,3,5,2.388306,15.707963,-0.142041,-8.14,37.741946,37.741946,-3.304810,-3.304810,37.741946,0,guard,trajectories\traj_026.csv
2026-02-26T15:01:24.201,3,7,2.400224,15.707963,-0.138290,-7.92,38.163307,38.163307,-3.193316,-3.193316,38.163307,0,guard,trajectories\traj_027.csv
2026-02-26T15:01:24.294,3,9,2.399783,15.707963,-0.141710,-8.12,38.136982,38.136982,-3.322622,-3.322622,38.136982,0,guard,trajectories\traj_028.csv
2026-02-26T15:01:24.392,3,11,2.407489,15.707963,-0.139074,-7.97,38.411370,38.411370,-3.241823,-3.241823,38.411370,0,guard,trajectories\traj_029.csv
2026-02-26T15:01:24.482,3,13,2.417190,15.707963,-0.138906,-7.96,38.747815,38.747815,-3.260190,-3.260190,38.747815,0,guard,trajectories\traj_030.csv
2026-02-26T15:01:24.577,3,15,2.395955,15.707963,-0.137568,-7.88,38.018767,38.018767,-3.155085,-3.155085,38.018767,0,guard,trajectories\traj_031.csv
2026-02-26T15:01:24.686,4,1,2.405222,15.707963,-0.139173,-7.97,38.332755,38.332755,-3.239783,-3.239783,38.332755,0,guard,trajectories\traj_032.csv
2026-02-26T15:01:24.783,4,3,2.392393,15.707963,-0.136901,-7.84,37.898524,37.898524,-3.120908,-3.120908,37.898524,0,guard,trajectories\traj_033.csv
2026-02-26T15:01:24.894,4,5,2.398981,15.707963,-0.140253,-8.04,38.114194,38.114194,-3.264997,-3.264997,38.114194,0,guard,trajectories\traj_034.csv
2026-02-26T15:01:25.008,4,7,2.392268,15.707963,-0.137715,-7.89,37.891698,37.891698,-3.151422,-3.151422,37.891698,0,guard,trajectories\traj_035.csv
2026-02-26T15:01:25.113,4,9,2.404467,15.707963,-0.140081,-8.03,38.303777,38.303777,-3.272659,-3.272659,38.303777,0,guard,trajectories\traj_036.csv
2026-02-26T15:01:25.231,4,11,2.399377,15.707963,-0.138966,-7.96,38.132001,38.132001,-3.216960,-3.216960,38.132001,0,guard,trajectories\traj_037.csv
2026-02-26T15:01:25.332,4,13,2.409816,15.707963,-0.140380,-8.04,38.487524,38.487524,-3.298051,-3.298051,38.487524,0,guard,trajectories\traj_038.csv
2026-02-26T15:01:25.442,4,15,2.395144,15.707963,-0.135388,-7.76,37.997660,37.997660,-3.070203,-3.070203,37.997660,0,guard,trajectories\traj_039.csv
