x,y
0.000000,0.000000
0.002370,-0.000326
0.004740,-0.000653
0.007110,-0.000979
0.009479,-0.001306
0.011849,-0.001632
0.014219,-0.001959
0.016588,-0.002285
0.018958,-0.002611
0.021327,-0.002938
0.023696,-0.003264
0.026066,-0.003590
0.028435,-0.003917
0.030804,-0.004243
0.033173,-0.004569
0.035542,-0.004895
0.037911,-0.005221
0.040280,-0.005548
0.042649,-0.005874
0.045017,-0.006200
0.047386,-0.006526
0.049755,-0.006852
0.052123,-0.007178
0.054492,-0.007504
0.056860,-0.007830
0.059228,-0.008156
0.061597,-0.008482
0.063965,-0.008808
0.066333,-0.009134
0.068701,-0.009460
0.071069,-0.009786
0.073437,-0.010112
0.075805,-0.010438
0.078172,-0.010764
0.080540,-0.011090
0.082908,-0.011415
0.085275,-0.011741
0.087643,-0.012067
0.090010,-0.012393
0.092378,-0.012719
0.094745,-0.013044
0.097112,-0.013370
0.099479,-0.013696
0.101847,-0.014021
0.104214,-0.014347
0.106581,-0.014673
0.108947,-0.014998
0.111314,-0.015324
0.113681,-0.015649
0.116048,-0.015975
0.118414,-0.016301
0.120781,-0.016626
0.123147,-0.016952
0.125514,-0.017277
0.127880,-0.017603
0.130247,-0.017928
0.132613,-0.018253
0.134979,-0.018579
0.137345,-0.018904
0.139711,-0.019230
0.142077,-0.019555
0.144443,-0.019880
0.146809,-0.020206
0.149175,-0.020531
0.151540,-0.020856
0.153906,-0.021181
0.156271,-0.021507
0.158637,-0.021832
0.161002,-0.022157
0.163368,-0.022482
0.165733,-0.022807
0.168098,-0.023133
0.170463,-0.023458
0.172828,-0.023783
0.175193,-0.024108
0.177558,-0.024433
0.179923,-0.024758
0.182288,-0.025083
0.184653,-0.025408
0.187018,-0.025733
0.189382,-0.026058
0.191747,-0.026383
0.194111,-0.026708
0.196476,-0.027033
0.198840,-0.027358
0.201204,-0.027683
0.203568,-0.028007
0.205933,-0.028332
0.208297,-0.028657
0.210661,-0.028982
0.213025,-0.029307
0.215388,-0.029631
0.217752,-0.029956
0.220116,-0.030281
0.222480,-0.030606
0.224843,-0.030930
0.227207,-0.031255
0.229570,-0.031580
0.231934,-0.031904
0.234297,-0.032229
0.236660,-0.032553
0.239023,-0.032878
0.241386,-0.033202
0.243750,-0.033527
0.246113,-0.033852
0.248475,-0.034176
0.250838,-0.034500
0.253201,-0.034825
0.255564,-0.035149
0.257926,-0.035474
0.260289,-0.035798
0.262652,-0.036123
0.265014,-0.036447
0.267376,-0.036771
0.269739,-0.037096
0.272101,-0.037420
0.274463,-0.037744
0.276825,-0.038068
0.279187,-0.038393
0.281549,-0.038717
0.283911,-0.039041
0.286273,-0.039365
0.288635,-0.039689
0.290997,-0.040014
0.293358,-0.040338
0.295720,-0.040662
0.298081,-0.040986
0.300443,-0.041310
0.302804,-0.041634
0.305165,-0.041958
0.307527,-0.042282
0.309888,-0.042606
0.312249,-0.042930
0.314610,-0.043254
0.316971,-0.043578
0.319332,-0.043902
0.321693,-0.044226
0.324053,-0.044550
0.326414,-0.044873
0.328775,-0.045197
0.331135,-0.045521
0.333496,-0.045845
0.335856,-0.046169
0.338217,-0.046492
0.340577,-0.046816
0.342937,-0.047140
0.345297,-0.047464
0.347657,-0.047787
0.350017,-0.048111
0.352377,-0.048435
0.354737,-0.048758
0.357097,-0.049082
0.359457,-0.049406
0.361816,-0.049729
0.364176,-0.050053
0.366536,-0.050376
0.368895,-0.050700
0.371254,-0.051023
0.373614,-0.051347
0.375973,-0.051670
0.378332,-0.051994
0.380691,-0.052317
0.383051,-0.052640
0.385410,-0.052964
0.387768,-0.053287
0.390127,-0.053610
0.392486,-0.053934
0.394845,-0.054257
0.397204,-0.054580
0.399562,-0.054904
0.401921,-0.055227
0.404279,-0.055550
0.406638,-0.055873
0.408996,-0.056197
0.411354,-0.056520
0.413712,-0.056843
0.416071,-0.057166
0.418429,-0.057489
0.420787,-0.057812
0.423145,-0.058135
0.425502,-0.058458
0.427860,-0.058781
0.430218,-0.059104
0.432576,-0.059427
0.434933,-0.059750
0.437291,-0.060073
0.439648,-0.060396
0.442006,-0.060719
0.444363,-0.061042
0.446720,-0.061365
0.449077,-0.061688
0.451434,-0.062011
0.453791,-0.062334
0.456148,-0.062656
0.458505,-0.062979
0.460862,-0.063302
0.463219,-0.063625
0.465576,-0.063947
0.467932,-0.064270
0.470289,-0.064593
0.472645,-0.064916
