ts,end,total_shot_number,tv,av,sa_rad,sa_deg,est_distance,final_x_model,final_y_model,dc_x,dc_y,in_house,class,trajectory_file
2026-02-27T10:25:46.848,0,2,2.407142,1.570796,1.572213,90.08,-2.168037,-2.168037,38.474860,38.474860,-2.168037,0,other,trajectories\traj_000.csv
2026-02-27T10:25:46.947,0,4,2.413680,1.570796,1.572046,90.07,-2.176658,-2.176658,38.701525,38.701525,-2.176658,0,other,trajectories\traj_001.csv
2026-02-27T10:25:47.045,0,6,2.431230,1.570796,1.569093,89.90,-2.101178,-2.101178,39.318740,39.318740,-2.101178,0,hit,trajectories\traj_002.csv
2026-02-27T10:25:47.180,0,8,2.432379,1.570796,1.569874,89.95,-2.134492,-2.134492,39.357239,39.357239,-2.134492,0,hit,trajectories\traj_003.csv
2026-02-27T10:25:47.279,0,10,2.422695,1.570796,1.572325,90.09,-2.208370,-2.208370,39.014060,39.014060,-2.208370,0,hit,trajectories\traj_004.csv
2026-02-27T10:25:47.378,0,12,2.415020,1.570796,1.572822,90.12,-2.209810,-2.209810,38.746308,38.746308,-2.209810,0,other,trajectories\traj_005.csv
2026-02-27T10:25:47.472,0,14,2.435118,1.570796,1.574617,90.22,-2.327777,-2.327777,39.442491,39.442491,-2.327777,0,hit,trajectories\traj_006.csv
2026-02-27T10:25:47.770,1,2,2.415344,1.570796,1.571496,90.04,-2.159169,-2.159169,38.760447,38.760447,-2.159169,0,other,trajectories\traj_007.csv
2026-02-27T10:25:47.872,1,4,2.426364,1.570796,1.568821,89.89,-2.079738,-2.079738,39.149431,39.149431,-2.079738,0,hit,trajectories\traj_008.csv
2026-02-27T10:25:47.974,1,6,2.405686,1.570796,1.573758,90.17,-2.224035,-2.224035,38.421173,38.421173,-2.224035,0,other,trajectories\traj_009.csv
2026-02-27T10:25:48.071,1,8,2.430764,1.570796,1.569221,89.91,-2.105170,-2.105170,39.302168,39.302168,-2.105170,0,hit,trajectories\traj_010.csv
2026-02-27T10:25:48.168,1,10,2.412088,1.570796,1.572047,90.07,-2.173004,-2.173004,38.646367,38.646367,-2.173004,0,other,trajectories\traj_011.csv
2026-02-27T10:25:48.264,1,12,2.431846,1.570796,1.569434,89.92,-2.115978,-2.115978,39.339549,39.339549,-2.115978,0,hit,trajectories\traj_012.csv
2026-02-27T10:25:48.356,1,14,2.419968,1.570796,1.571047,90.01,-2.152285,-2.152285,38.921979,38.921979,-2.152285,0,other,trajectories\traj_013.csv
2026-02-27T10:25:48.561,2,2,2.415897,1.570796,1.571009,90.01,-2.141530,-2.141530,38.780661,38.780661,-2.141530,0,other,trajectories\traj_014.csv
2026-02-27T10:25:48.654,2,4,2.410686,1.570796,1.570696,89.99,-2.117640,-2.117640,38.600720,38.600720,-2.117640,0,other,trajectories\traj_015.csv
2026-02-27T10:25:48.744,2,6,2.416334,1.570796,1.569877,89.95,-2.098619,-2.098619,38.798229,38.798229,-2.098619,0,other,trajectories\traj_016.csv
