x,y
0.000000,0.000000
0.002403,0.000127
0.004806,0.000255
0.007208,0.000382
0.009611,0.000509
0.012014,0.000636
0.014416,0.000763
0.016819,0.000891
0.019221,0.001018
0.021623,0.001145
0.024026,0.001272
0.026428,0.001399
0.028830,0.001526
0.031232,0.001653
0.033634,0.001781
0.036036,0.001908
0.038438,0.002035
0.040839,0.002162
0.043241,0.002289
0.045643,0.002416
0.048044,0.002543
0.050446,0.002670
0.052847,0.002797
0.055248,0.002924
0.057650,0.003051
0.060051,0.003178
0.062452,0.003305
0.064853,0.003431
0.067254,0.003558
0.069655,0.003685
0.072056,0.003812
0.074457,0.003939
0.076857,0.004066
0.079258,0.004193
0.081659,0.004320
0.084059,0.004446
0.086460,0.004573
0.088860,0.004700
0.091260,0.004827
0.093661,0.004953
0.096061,0.005080
0.098461,0.005207
0.100861,0.005334
0.103261,0.005460
0.105661,0.005587
0.108061,0.005714
0.110460,0.005840
0.112860,0.005967
0.115260,0.006094
0.117659,0.006220
0.120059,0.006347
0.122458,0.006473
0.124858,0.006600
0.127257,0.006727
0.129656,0.006853
0.132055,0.006980
0.134454,0.007106
0.136853,0.007233
0.139252,0.007359
0.141651,0.007486
0.144050,0.007612
0.146449,0.007739
0.148847,0.007865
0.151246,0.007992
0.153644,0.008118
0.156043,0.008244
0.158441,0.008371
0.160840,0.008497
0.163238,0.008624
0.165636,0.008750
0.168034,0.008876
0.170432,0.009003
0.172830,0.009129
0.175228,0.009255
0.177626,0.009381
0.180024,0.009508
0.182421,0.009634
0.184819,0.009760
0.187217,0.009886
0.189614,0.010013
0.192011,0.010139
0.194409,0.010265
0.196806,0.010391
0.199203,0.010517
0.201601,0.010644
0.203998,0.010770
0.206395,0.010896
0.208792,0.011022
0.211188,0.011148
0.213585,0.011274
0.215982,0.011400
0.218379,0.011526
0.220775,0.011652
0.223172,0.011778
0.225568,0.011904
0.227965,0.012030
0.230361,0.012156
0.232757,0.012282
0.235153,0.012408
0.237550,0.012534
0.239946,0.012660
0.242342,0.012786
0.244737,0.012912
0.247133,0.013038
0.249529,0.013164
0.251925,0.013290
0.254320,0.013416
0.256716,0.013541
0.259111,0.013667
0.261507,0.013793
0.263902,0.013919
0.266298,0.014045
0.268693,0.014170
0.271088,0.014296
0.273483,0.014422
0.275878,0.014548
0.278273,0.014673
0.280668,0.014799
0.283063,0.014925
0.285457,0.015050
0.287852,0.015176
0.290247,0.015302
0.292641,0.015427
0.295036,0.015553
0.297430,0.015679
0.299824,0.015804
0.302219,0.015930
0.304613,0.016055
0.307007,0.016181
0.309401,0.016307
0.311795,0.016432
0.314189,0.016558
0.316583,0.016683
0.318977,0.016809
0.321370,0.016934
0.323764,0.017060
0.326158,0.017185
0.328551,0.017311
0.330944,0.017436
0.333338,0.017561
0.335731,0.017687
0.338124,0.017812
0.340518,0.017938
0.342911,0.018063
0.345304,0.018188
0.347697,0.018314
0.350089,0.018439
0.352482,0.018564
0.354875,0.018689
0.357268,0.018815
0.359660,0.018940
0.362053,0.019065
0.364445,0.019191
0.366838,0.019316
0.369230,0.019441
0.371622,0.019566
0.374015,0.019691
0.376407,0.019817
0.378799,0.019942
0.381191,0.020067
0.383583,0.020192
0.385974,0.020317
0.388366,0.020442
0.390758,0.020567
0.393150,0.020692
0.395541,0.020817
0.397933,0.020943
0.400324,0.021068
0.402716,0.021193
0.405107,0.021318
0.407498,0.021443
0.409889,0.021568
0.412280,0.021693
0.414671,0.021818
0.417062,0.021942
0.419453,0.022067
0.421844,0.022192
0.424235,0.022317
0.426625,0.022442
0.429016,0.022567
0.431407,0.022692
0.433797,0.022817
0.436187,0.022942
0.438578,0.023066
0.440968,0.023191
0.443358,0.023316
0.445748,0.023441
0.448138,0.023566
0.450528,0.023690
0.452918,0.023815
0.455308,0.023940
0.457698,0.024065
0.460088,0.024189
0.462477,0.024314
0.464867,0.024439
0.467256,0.024563
0.469646,0.024688
0.472035,0.024813
0.474425,0.024937
0.476814,0.025062
0.479203,0.025186
0.481592,0.025311
0.483981,0.025436
0.486370,0.025560
0.488759,0.025685
0.491148,0.025809
0.493537,0.025934
0.495925,0.026058
0.498314,0.026183
0.500702,0.026307
0.503091,0.026432
0.505479,0.026556
0.507868,0.026681
0.510256,0.026805
0.512644,0.026929
0.515032,0.027054
0.517420,0.027178
0.519808,0.027303
0.522196,0.027427
0.524584,0.027551
0.526972,0.027676
0.529360,0.027800
0.531747,0.027924
0.534135,0.028049
0.536522,0.028173
0.538910,0.028297
0.541297,0.028421
0.543685,0.028546
0.546072,0.028670
0.548459,0.028794
0.550846,0.028918
0.553233,0.029042
0.555620,0.029167
0.558007,0.029291
0.560394,0.029415
0.562780,0.029539
0.565167,0.029663
0.567554,0.029787
0.569940,0.029911
0.572327,0.030035
0.574713,0.030159
0.577100,0.030284
0.579486,0.030408
0.581872,0.030532
0.584258,0.030656
0.586644,0.030780
0.589030,0.030904
0.591416,0.031028
0.593802,0.031152
0.596188,0.031275
0.598574,0.031399
0.600959,0.031523
