end,shot,next_shot,translational_velocity,angular_velocity,shot_angle
0,8,None,2.3900236373137718,-1.570796327,1.5143814484357496
1,8,None,2.4034334212622674,-1.570796327,1.5143945809829977
2,8,None,3.989451539780893,0.0,-0.0007513649013814874
3,8,None,2.40642858465812,-1.570796327,1.5167650639585832
4,8,None,2.3990984204514594,15.707963267948966,1.622866427246489
5,8,None,2.3929235604527457,15.707963267948966,1.6287747131752652
6,8,None,2.4044273678289017,15.707963267948966,1.6302639093095377
7,8,None,4.009263406186019,0.0,-0.007227603626118741
8,8,None,2.3850281063978254,-1.570796327,1.5178142144520932
9,8,None,2.397421832160917,-1.570796327,1.5143207878882763
